Rk,Player,From,To,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
516,Montrezl Harrell\montrezl-harrell-1,2013,2015,Louisville,Total,112,2961,24.1,.586,.592,11.1,18.5,14.8,7.4,1.8,4.4,11.6,21.0,1218,119.0,88.9,8.4,7.7,16.0,3.9,5.0,8.8
517,Quinton Hooker\quinton-hooker-1,2014,2017,North Dakota,Big Sky,128,3917,21.1,.585,.530,3.0,11.7,7.3,21.4,2.8,0.7,12.4,22.2,1786,118.0,103.1,10.9,5.1,16.0,3.1,-0.4,2.7
518,Tim James\tim-james-1,1996,1999,Miami (FL),Big East,115,2481,,.511,.483,,,,,,,15.5,,,,,4.9,11.1,16.0,,,
519,Stephane Lasme\stephane-lasme-1,2004,2007,Massachusetts,A-10,118,2861,,.609,.595,,,16.5,5.3,,10.7,20.7,19.0,,,,6.8,9.2,16.0,,,
520,Gabe Lewullis\gabe-lewullis-1,1996,1999,Princeton,Ivy,111,,,.594,.574,,,,,,,,,,,,10.0,6.0,16.0,,,
521,Michael Oguine\michael-oguine-1,2016,2019,Montana,Big Sky,127,3876,19.6,.565,.515,6.3,14.6,10.5,11.5,2.4,1.9,12.0,21.9,1629,116.1,100.0,9.6,6.4,16.0,2.0,1.0,3.0
522,Jacob Parker\jacob-parker-1,2012,2015,Stephen F. Austin,Southland,130,3090,20.6,.592,.548,8.0,18.5,13.0,13.2,2.3,1.7,13.1,20.3,1184,120.8,91.0,8.6,7.3,16.0,2.4,1.8,4.2
523,Tyrese Rice\tyrese-rice-1,2006,2009,Boston College,ACC,132,4202,,.579,.517,,,5.7,30.6,,0.5,18.6,27.1,,,,11.6,4.4,16.0,,,
524,Patrick Sullivan\patrick-sullivan-1,2007,2010,Southeastern Louisiana,Southland,121,2965,27.8,.582,.562,9.8,22.7,17.4,13.0,1.9,10.1,19.4,24.7,473,108.4,89.6,7.3,8.7,16.0,,,
525,Deshon Taylor\deshon-taylor-1,2015,2019,Total,Total,126,3773,19.4,.604,.532,2.0,9.1,5.5,17.5,2.5,0.5,14.9,22.9,1684,117.9,102.1,10.6,5.3,16.0,3.8,-0.5,3.3
526,Mike Trimboli\mike-trimboli-1,2006,2009,Vermont,AEC,126,4471,,.553,.495,,,5.3,31.8,,0.1,19.8,24.7,,,,9.3,6.7,16.0,,,
527,Edwin Ubiles\edwin-ubiles-1,2007,2010,Siena,MAAC,131,4131,19.3,.549,.530,3.7,9.6,7.4,12.5,2.0,1.7,13.5,24.2,415,106.9,97.5,8.3,7.8,16.0,,,
528,Michael Young\michael-young-3,2014,2017,Pittsburgh,ACC,136,3924,22.2,.567,.512,9.1,16.7,13.0,13.9,1.1,2.5,12.0,24.7,1765,116.9,105.2,11.6,4.4,16.0,4.2,2.0,6.2
529,Kenny Adeleke\kenny-adeleke-1,2002,2006,Total,Total,118,3640,,.540,.517,,,16.8,6.7,,1.9,18.7,27.3,,,,7.4,8.5,15.9,,,
530,Antoine Agudio\antoine-agudio-1,2005,2008,Hofstra,CAA,122,4568,,.569,.544,,,5.5,16.5,,0.1,14.1,26.9,,,,11.7,4.2,15.9,,,
531,Rashad Bell\rashad-bell-1,2002,2005,Boston University,AEC,120,2976,,.551,.499,,,12.5,5.9,,3.1,13.1,26.0,,,,6.7,9.2,15.9,,,
532,Jimmy Butler\jimmy-butler-1,2009,2011,Marquette,Big East,106,3134,24.7,.607,.531,8.5,13.2,11.1,11.2,2.4,1.6,9.5,19.0,1067,130.7,101.2,11.2,4.7,15.9,7.0,2.4,9.4
533,Pat Connaughton\pat-connaughton-1,2012,2015,Notre Dame,Total,139,4484,17.8,.587,.567,3.9,18.6,11.4,11.1,1.3,1.6,9.8,16.9,1363,120.9,103.3,10.6,5.3,15.9,5.2,1.8,7.1
534,Chaz Crawford\chaz-crawford-1,2004,2007,Drexel,CAA,120,2857,,.526,.521,,,15.7,6.4,,8.6,20.6,14.8,,,,2.3,13.6,15.9,,,
535,Sam Dekker\sam-dekker-1,2013,2015,Wisconsin,Big Ten,113,3153,23.4,.585,.563,7.5,15.1,11.4,10.5,1.5,1.7,8.9,22.9,1283,122.2,98.6,10.6,5.3,15.9,6.7,2.6,9.3
536,Melvin Ejim\melvin-ejim-1,2011,2014,Iowa State,Big 12,135,3752,21.1,.574,.536,11.3,20.4,15.9,9.6,2.2,1.6,14.7,22.0,1634,114.5,98.2,9.6,6.2,15.9,3.9,2.6,6.5
537,Dairese Gary\dairese-gary-1,2008,2011,New Mexico,MWC,135,3707,21.3,.586,.509,2.0,9.0,5.6,28.9,2.2,0.1,19.6,21.6,971,121.0,101.5,10.4,5.5,15.9,6.3,1.0,7.4
538,Adam Haluska\adam-haluska-1,2003,2007,Total,Total,129,4133,,.568,.514,,,7.7,14.7,,0.5,11.2,24.2,,,,9.9,6.0,15.9,,,
539,Ayron Hardy\ayron-hardy-1,2008,2011,Jacksonville,A-Sun,127,3781,20.9,.595,.570,7.8,13.7,10.6,16.6,3.7,3.5,15.8,16.8,699,116.9,93.5,8.4,7.6,15.9,3.9,4.0,8.0
540,Kevin Larsen\kevin-larsen-1,2013,2016,George Washington,A-10,136,4209,19.1,.553,.522,10.1,15.9,13.0,13.8,1.2,2.6,14.5,18.8,1531,114.9,100.2,9.3,6.5,15.9,2.6,2.7,5.2
541,David Lighty\david-lighty-1,2007,2011,Ohio State,Big Ten,157,4582,19.2,.544,.521,5.2,10.2,8.0,16.3,2.8,1.6,17.5,19.9,942,115.9,95.0,7.7,8.1,15.9,6.5,4.8,11.4
542,Terrell McIntyre\terrell-mcintyre-1,1996,1999,Clemson,ACC,126,905,,.553,.506,,,,,,,16.7,,,,,9.7,6.3,15.9,,,
543,Troy Murphy\troy-murphy-1,1999,2001,Notre Dame,Big East,94,3298,,.582,.520,,,,,,,14.1,,,,,11.5,4.5,15.9,,,
544,Matt Nelson\matt-nelson-2,2002,2005,Colorado State,MWC,104,2789,,.657,.616,,,12.5,10.3,,4.5,14.8,26.4,,,,13.4,2.5,15.9,,,
545,Ben Smith\ben-smith-1,2007,2010,Jacksonville,A-Sun,125,4475,23.4,.558,.484,2.0,7.9,4.8,21.2,3.1,0.4,13.4,25.0,616,123.1,100.7,10.8,5.1,15.9,,,
546,Curtis Sumpter\curtis-sumpter-1,2003,2007,Villanova,Big East,124,3551,,.562,.511,,,12.9,7.0,,2.0,14.9,24.4,,,,8.1,7.8,15.9,,,
